offset_label	offset	base	count	mean	std	median	min	max	p01	p05	p25	p75	p95	p99
left4	-4.0	A	39000	69.20174461374992	12.725286470434934	68.19449920654296	-1.3200486501057942	340.78210220336916	44.83724932098389	51.34596752929688	60.867405541737874	76.56734352111816	89.53357777186802	99.82195664978033
left4	-4.0	T	34000	84.03585639360611	11.000871460465186	83.54905014038087	-2.926545588175456	407.37956314086915	62.55499162101746	68.58169353993733	77.2363416671753	90.22268886566162	100.45891860961915	107.89823371124268
left4	-4.0	G	25000	65.41578221696038	12.293038273957553	65.29606704711915	30.69734764099121	331.9981037139893	40.40204665565491	46.49636623382569	56.717201709747314	73.80897848129273	84.64536355336507	92.15265251922607
left4	-4.0	C	35000	80.2749474390609	10.321841944710686	80.04826452467177	-17.534564272562662	478.02899780273435	59.812821521759034	65.53916240692139	73.95198345184326	86.27143859863281	94.99751612345376	101.21189847183233
