offset_label	offset	base_pair	base_a	base_b	n_a	n_b	mean_a	mean_b	mean_delta	cohens_d	bhattacharyya_distance
left4	-4.0	A-T	A	T	39000	34000	69.20174461374992	84.03585639360611	14.834111779856187	1.2410235524407027	0.19970656394875583
left4	-4.0	A-G	A	G	39000	25000	69.20174461374992	65.41578221696038	3.785962396789543	0.3014730474591616	0.011745104371862677
left4	-4.0	A-C	A	C	39000	35000	69.20174461374992	80.2749474390609	11.073202825310972	0.9504499356404502	0.12505433070623617
left4	-4.0	T-G	T	G	34000	25000	84.03585639360611	65.41578221696038	18.62007417664573	1.609892574589168	0.3215803073129823
left4	-4.0	T-C	T	C	34000	35000	84.03585639360611	80.2749474390609	3.760908954545215	0.3527447643538222	0.01655339330095531
left4	-4.0	G-C	G	C	25000	35000	65.41578221696038	80.2749474390609	14.859165222100515	1.3284352320074795	0.22182907092158471
