offset_label	offset	base_pair	base_a	base_b	n_a	n_b	mean_a	mean_b	mean_delta	cohens_d	bhattacharyya_distance
left3p7	-3.7	A-T	A	T	39000	34000	68.15239801548707	86.62837223215723	18.475974216670167	1.6259084197410842	0.3345786421841028
left3p7	-3.7	A-G	A	G	39000	25000	68.15239801548707	63.480539127739554	4.671858887747511	0.4045678083042121	0.021796467265978368
left3p7	-3.7	A-C	A	C	39000	35000	68.15239801548707	80.30706894795084	12.154670932463773	1.1231080992413602	0.17059047537988095
left3p7	-3.7	T-G	T	G	34000	25000	86.62837223215723	63.480539127739554	23.14783310441768	2.1188957014826793	0.5591302590142192
left3p7	-3.7	T-C	T	C	34000	35000	86.62837223215723	80.30706894795084	6.321303284206394	0.6199427852698587	0.051592477914264384
left3p7	-3.7	G-C	G	C	25000	35000	63.480539127739554	80.30706894795084	16.826529820211285	1.6444468132736003	0.33518790037064694
