offset_label	offset	base_pair	base_a	base_b	n_a	n_b	mean_a	mean_b	mean_delta	cohens_d	bhattacharyya_distance
left4	-4.0	A-T	A	T	39000	34000	67.09947805995832	89.83558386443762	22.73610580447931	1.9505020125940131	0.47615538387304657
left4	-4.0	A-G	A	G	39000	25000	67.09947805995832	61.7997547776514	5.299723282306914	0.46446376530830635	0.028924030744374416
left4	-4.0	A-C	A	C	39000	35000	67.09947805995832	80.47217893012888	13.372700870170561	1.2419315586427575	0.20540620937942528
left4	-4.0	T-G	T	G	34000	25000	89.83558386443762	61.7997547776514	28.035829086786222	2.4878863201455497	0.781850590739576
left4	-4.0	T-C	T	C	34000	35000	89.83558386443762	80.47217893012888	9.363404934308747	0.8841037303884963	0.10634357883941069
left4	-4.0	G-C	G	C	25000	35000	61.7997547776514	80.47217893012888	18.672424152477475	1.8438486003294612	0.42003955734936393
